Comment,Designator,Footprint,LCSC
EL817,"U10,U7,U8,U9",SMDIP-4_W7.62mm,C106900
TPS5450DDAR,U2,TI_SO-PowerPAD-8,C114425
22uF/25V,"C3,C4,C5",C_1206_3216Metric,C12891
2.74k,R9,R_0603_1608Metric,C13167
10uF 50V,"C15,C26,C27,C6",C_1206_3216Metric,C13585
Barrel_Jack,J2,BarrelJack_Horizontal,C136744
0.1uF 50V,"C14,C24,C25,C28",C_0603_1608Metric,C14663
P6SSMAJ33CA,D4,D_SMA,C148226
100nF/16V,"C17,C23",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525
TYPE-C-31-M-12,J8,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C165948
100R,"R24,R3",R_0805_2012Metric,C17408
10k,"R1,R10,R16,R19,R20,R25,R26,R27,R29,R31,R33,R4",R_0805_2012Metric,C17414
0R,"R12,R21,R22",R_0805_2012Metric,C17477
1K,R14,R_0805_2012Metric,C17513
22k,R15,R_0805_2012Metric,C17560
BZT52B15,D5,D_SOD-123,C179512
MMBT3904,Q3,SOT-23,C20526
SN74LVC2T45DCUR,U1,VSSOP-8_2.4x2.1mm_P0.5mm,C22672
1k,R7,R_0603_1608Metric,C22940
4.7k,R6,R_0603_1608Metric,C23162
220 uF 16V,"C13,C2",CP_Elec_8x6.7,C250068
10uH/6.5A,L1,L_Wuerth_WE-PD2-Typ-XL,C2903677
ESP32-S3-WROOM-1-N16R2,U5,XCVR_ESP32-S3-WROOM-1-N16R2,C2913205
0.1uF/50V,C18,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
TS-1187A-B-A-B,"SW1,SW2",SW_Push_1P1T_XKB_TS-1187A,C318884
1k/250mW,"R28,R30,R32,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C4410
AO4485,"Q2,Q4,Q5",SOIC-8_3.9x4.9mm_P1.27mm,C51499
LESD5D5.0CT1G,"D6,D7,D8",D_SOD-523,C5199850
1uF 25V,"C16,C20",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
10nF 50V,C1,C_0603_1608Metric,C57112
AMS1117-3.3,"U12,U3",SOT-223-3_TabPin2,C6186
SM4007,"D11,D3",D_SOD-123F,C64898
S9013 J3,"Q6,Q7",SOT-23,C6749
Input1,"J11,J12,J13,J15",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,C692532
LED_Channel_2,"J1,J4",JST_VH_B3P-VH_1x03_P3.96mm_Vertical,C703273
1N5819HW-7-F,D9,D_SOD-123,C82544
2N7002,Q8,SOT-23,C8545
SS34,D2,D_SMA,C8678
10uF/25V,"C19,C21,C22",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C96446
CP2102N-Axx-xQFN28,U6,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C964632
Conn_01x01,J5,TestPoint_Pad_1.5x1.5mm,
SolderJumper_3_Open,JP2,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,
INMP441,U4,INMP441,
5V_TP,J7,TestPoint_Pad_1.5x1.5mm,
10K (NC),R13,R_0805_2012Metric,
SolderJumper_3_Open,JP1,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm_NumberLabels,
Conn_01x01,J9,TestPoint_Pad_1.5x1.5mm,
Conn_01x01,J3,TestPoint_Pad_1.5x1.5mm,
7.5A,F1,Fuse_Blade_Mini_directSolder,
Conn_01x01,J6,TestPoint_Pad_1.5x1.5mm,
