Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF 50V,C_0603_1608Metric,197.455,-110.68,90.0,top
C2,220 uF 16V,CP_Elec_8x6.7,195.25,-103.25,90.0,top
C3,22uF/25V,C_1206_3216Metric,192.6354,-121.5644,0.0,top
C4,22uF/25V,C_1206_3216Metric,192.6354,-124.1044,0.0,top
C5,22uF/25V,C_1206_3216Metric,191.4652,-118.0084,-90.0,top
C6,10uF 50V,C_1206_3216Metric,192.532,-78.74,0.0,top
C13,220 uF 16V,CP_Elec_8x6.7,204.85,-103.25,90.0,top
C14,0.1uF 50V,C_0603_1608Metric,200.0504,-71.7804,90.0,top
C15,10uF 50V,C_1206_3216Metric,201.6252,-79.9084,90.0,top
C16,1uF 25V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,207.0608,-65.3288,180.0,top
C17,100nF/16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,204.724,-85.979,90.0,top
C18,0.1uF/50V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,194.7672,-65.3796,0.0,top
C19,10uF/25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.612,-65.3288,180.0,top
C20,1uF/16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,202.0403,-84.582,0.0,top
C21,10uF/25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,199.0344,-85.9028,180.0,top
C22,10uF/25V,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,197.5612,-97.1307,-90.0,top
C23,100nF/16V,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,206.502,-82.042,180.0,top
C24,0.1uF 50V,C_0603_1608Metric,200.0504,-75.946,-90.0,top
C25,0.1uF 50V,C_0603_1608Metric,191.7192,-80.7212,180.0,top
C26,10uF 50V,C_1206_3216Metric,198.374,-79.9084,90.0,top
C27,10uF 50V,C_1206_3216Metric,207.518,-78.74,0.0,top
C28,0.1uF 50V,C_0603_1608Metric,206.4004,-80.7212,180.0,top
D2,SS34,D_SMA,206.15,-122.25,0.0,top
D3,SM4007,D_SOD-123F,193.4972,-127.8352,-90.0,top
D4,P6SSMAJ33CA,D_SMA,199.0,-122.25,0.0,top
D5,BZT52B15,D_SOD-123,199.7964,-125.222,180.0,top
D6,LESD5D5.0CT1G,D_SOD-523,197.104,-94.6912,0.0,top
D7,LESD5D5.0CT1G,D_SOD-523,199.4916,-93.218,0.0,top
D8,LESD5D5.0CT1G,D_SOD-523,199.4916,-91.694,0.0,top
D9,1N5819HW-7-F,D_SOD-123,199.5932,-96.4184,90.0,top
D11,SM4007,D_SOD-123F,200.5584,-108.966,180.0,top
F1,7.5A,Fuse_Blade_Mini_directSolder,197.0532,-138.036,90.0,top
